Store,Region,Test_Group
store_012,Midwest,cc
store_015,Midwest,76.99
store_024,Midwest,76.99
store_027,Midwest,76.99
store_029,Midwest,cc
store_033,Midwest,cc
store_108,East,cc
store_109,East,cc
store_132,East,cc
store_140,East,cc
store_150,Midwest,cc
store_152,East,cc
store_154,East,cc
store_158,East,cc
store_167,East,cc
store_195,East,cc
store_206,East,cc
store_207,East,cc
store_210,East,cc
store_220,East,cc
store_229,East,cc
store_232,East,cc
store_244,East,cc
store_251,Midwest,cc
store_264,East,cc
store_271,East,cc
store_281,East,cc
store_289,East,cc
store_299,West,cc
store_323,Midwest,cc
store_327,East,cc
store_333,East,cc
store_335,East,87.99
store_338,East,cc
store_344,East,87.99
store_367,East,87.99
store_368,East,87.99
store_372,East,cc
store_373,East,cc
store_377,East,87.99
store_378,East,87.99
store_383,East,cc
store_385,East,cc
store_396,East,cc
store_417,East,cc
store_421,East,cc
store_429,East,cc
store_441,East,cc
store_450,East,cc
store_462,Midwest,cc
store_466,Midwest,cc
store_478,West,cc
store_479,West,87.99
store_484,West,cc
store_487,West,cc
store_489,West,87.99
store_490,West,87.99
store_491,West,87.99
store_509,West,cc
store_518,West,cc
store_523,West,cc
store_526,West,cc
store_527,West,cc
store_530,West,87.99
store_534,West,cc
store_537,West,87.99
store_541,West,cc
store_544,West,cc
store_549,West,cc
store_550,Midwest,cc
store_554,East,cc
store_558,West,cc
store_561,West,cc
store_565,West,cc
store_566,West,cc
store_567,West,cc
store_569,West,cc
store_573,Midwest,cc
store_574,West,cc
store_577,Midwest,cc
store_579,West,cc
store_586,Midwest,cc
store_588,West,cc
store_591,West,cc
store_593,West,87.99
store_594,West,cc
store_596,West,76.99
store_597,Midwest,cc
store_601,West,76.99
store_615,Midwest,cc
store_636,Midwest,cc
store_643,East,cc
store_654,Midwest,cc
store_658,Midwest,cc
store_664,Midwest,cc
store_669,East,cc
store_670,East,cc
store_671,Midwest,cc
store_683,East,cc
store_687,Midwest,cc
store_695,Midwest,76.99
store_696,Midwest,76.99
store_700,Midwest,cc
store_703,Midwest,cc
store_705,Midwest,cc
store_707,Midwest,76.99
store_710,Midwest,cc
store_713,Midwest,cc
store_714,Midwest,cc
store_716,Midwest,cc
store_719,Midwest,76.99
store_721,Midwest,76.99
store_724,Midwest,76.99
store_725,Midwest,cc
store_727,Midwest,76.99
store_728,Midwest,cc
store_733,Midwest,cc
store_738,Midwest,cc
store_741,Midwest,76.99
store_742,Midwest,76.99
store_751,Midwest,cc
store_755,Midwest,76.99
store_760,Midwest,cc
store_764,Midwest,cc
store_767,Midwest,76.99
store_769,Midwest,76.99
store_776,Midwest,cc
store_777,Midwest,cc
store_788,Midwest,cc
store_796,Midwest,cc
store_798,Midwest,cc
store_802,Midwest,cc
store_808,Midwest,cc
