Sum_Produce,Date,Type
25151525.84,2012-03,Historical
24406048.39,2012-04,Historical
28249539.01,2012-05,Historical
28691364.32,2012-06,Historical
28535707.45,2012-07,Historical
25793520.64,2012-08,Historical
21915641.66,2012-09,Historical
21203562.52,2012-10,Historical
21736158.96,2012-11,Historical
21962976.75,2012-12,Historical
20322683.64,2013-01,Historical
19829620.75,2013-02,Historical
22717069.85,2013-03,Historical
21625385.04,2013-04,Historical
23000152.4,2013-05,Historical
24755406.2,2013-06,Historical
26803105.56,2013-07,Historical
22600217.01,2013-08,Historical
21401265.74,2013-09,Historical
19296578.09,2013-10,Historical
20489773.49,2013-11,Historical
21715706.67,2013-12,Historical
22544458.38,2014-01,Historical
21262413.12,2014-02,Historical
23247168.62,2014-03,Historical
22541987.92,2014-04,Historical
25943046.75,2014-05,Historical
24782178.43,2014-06,Historical
24263117.59,2014-07,Historical
21879988.86,2014-08,Historical
18407263.58,2014-09,Historical
19497571.95,2014-10,Historical
19444753.17,2014-11,Historical
19240384.75,2014-12,Historical
20088529.29,2015-01,Historical
19772333.34,2015-02,Historical
24608406.71,2015-03,Historical
21559729.45,2015-04,Historical
25792074.59,2015-05,Historical
27212464.15,2015-06,Historical
26338477.15,2015-07,Historical
23130626.6,2015-08,Historical
20774415.93,2015-09,Historical
20359980.58,2015-10,Historical
21936906.81,2015-11,Historical
20462899.3,2015-12,Historical
