Period,Sub_Period,forecast,Tag,Type
2016,1,218778.521820639,1,New
2016,2,211614.605364203,1,New
2016,3,255219.376895951,1,New
2016,4,233318.478259041,1,New
2016,5,270368.562843679,1,New
2016,6,274396.373281587,1,New
2016,7,279885.352387874,1,New
2016,8,239203.615280088,1,New
2016,9,210409.49019908,1,New
2016,10,207261.709567283,1,New
2016,11,212498.193046833,1,New
2016,12,218861.416999285,1,New
2016,1,263364.266251151,2,New
2016,2,254026.065027999,2,New
2016,3,295564.400275576,2,New
2016,4,283905.868258938,2,New
2016,5,321700.271615927,2,New
2016,6,327352.512306974,2,New
2016,7,328885.305050201,2,New
2016,8,296870.657911339,2,New
2016,9,262477.059660991,2,New
2016,10,256705.846189112,2,New
2016,11,264514.634746212,2,New
2016,12,256259.005588453,2,New
2016,1,254797.930237878,3,New
2016,2,249384.577343296,3,New
2016,3,294112.789045999,3,New
2016,4,276042.727294885,3,New
2016,5,313578.558255229,3,New
2016,6,318847.585560183,3,New
2016,7,319731.257133592,3,New
2016,8,277319.402149891,3,New
2016,9,245475.112875114,3,New
2016,10,239751.368998113,3,New
2016,11,252719.528729852,3,New
2016,12,258031.784867806,3,New
